model_name,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std
random_forest,0.8305002824681438,0.015495231439515027,0.768796280473912,0.020128589977018396
NeuralNet_sgd,0.8237712635741635,0.014710792335061859,0.7672627277998648,0.0200706793295269
NeuralNet_rmsprop,0.8215366267026554,0.00920588312334788,0.7541308888373173,0.011193772786316912
NeuralNet_cosine,0.8192831586215554,0.011195959603989617,0.7484497092037492,0.015298249592838572
lightGBM,0.8181972255351202,0.011295858862529793,0.7512719912559206,0.018835531799604805
NeuralNet_rop,0.818172117255665,0.008597124933197142,0.7446946247581094,0.014595641468545296
NeuralNet_combination,0.818172117255665,0.008597124933197142,0.7446946247581094,0.014595641468545296
NeuralNet_basic,0.8170610758897746,0.00836294185209014,0.7434693575207442,0.016038038936690625
XGBoost,0.8170422446801833,0.0094321742349369,0.7500639992663918,0.01649177140638434
catboost,0.8159249262444291,0.013162732629075998,0.749215831806908,0.017690006553224304
Lasso (L1),0.8148076078086749,0.01188653303538895,0.7541158240228718,0.014060878875259138
ElasticNet,0.8148013307388112,0.014370767121317074,0.7548875950983325,0.016657235770036822
Ridge (L2),0.8125541397275752,0.015498956225176377,0.7526705371576674,0.01782786010162837
KNN,0.8114242671520933,0.024414514558811,0.7513388961613421,0.03266038992121567
decision_tree,0.8013370158809867,0.014598248739871143,0.7295621242123351,0.022133847196056843
dummy_classifier,0.6161634548992531,0.002324923639127706,0.0,0.0
